name,notes,DEC,redshift,E(B-V),class,peakband,convertband,tpeak,tpeak_unc_low,tpeak_unc_up,gpeak,gpeak_unc,rpeak,rpeak_unc,gpeak_abs,gpeak_abs_unc,mag_convert,mag_convert_unc,gp_nc,gp_nc_err,rp_nc,rp_nc_err
ZTF19abaeyqw,YES<~19 z=0.4,+08:58:01.0,0.4,0.0227,silver,g,r,2458682.02,6.3286,14.3786,19.0025,0.0705,19.185,0.135,-22.086,0.0941,19.2104,0.0941,19.1026,0.0631,19.2697,0.1081
ZTF19abfvnns,yes <19,+42:52:11.3,0.1295,0.0829,gold,g,g,2458708.37,1.6733,0.9562,17.7667,0.008,18.0049,0.011,-20.9432,0.008,17.7667,0.008,18.0952,0.016,18.24,0.0164
ZTF19abnacvf,yes<19,+07:36:59.7,0.19,0.0514,gold,g,r,2458737.5,3.2521,2.2437,18.2169,0.0118,18.3486,0.031,-21.3612,0.0157,18.37,0.0157,18.4113,0.0164,18.4766,0.0291
ZTF19abpbopt,yes <19,+47:15:40.6,0.106,0.0334,gold,g,g,2458730.36,1.8083,2.17,16.94,0.0141,17.1633,0.0133,-21.2786,0.0141,16.94,0.0141,17.066,0.013,17.2491,0.0122
ZTF19abrbsvm,"yes,~19.5",-02:09:42.3,0.1656,0.048,bronze,r,g,2458736.23,8.3305,5.5165,19.5843,0.0709,19.2242,0.1401,-19.8167,0.0774,19.5875,0.0774,19.82,0.05,19.4873,0.1264
ZTF19abxgmzr,"yes, < 19",-16:38:07.1,0.1136,0.0619,silver,g,g,2458755.07,3.6638,1.9217,17.5174,0.0469,17.7054,0.0151,-21.0135,0.0469,17.5174,0.0469,17.763,0.0386,17.8631,0.0178
ZTF19abzoyeg,"yes,~19.5",+32:43:01.3,0.2,0.126,gold,g,r,2458765.12,2.625,2.2167,18.8652,0.034,19.096,0.0291,-20.5918,0.036,19.147,0.036,19.4204,0.0428,19.435,0.0322
ZTF19acbonaa,"yes,<19. bump",+17:29:31.4,0.1178,0.072,silver,g,g,2458783.54,5.7076,16.9529,18.8759,0.0249,18.5078,0.0227,-19.45,0.0249,18.8759,0.0249,19.1546,0.0255,18.6945,0.0196
ZTF19acfwynw,WEIRD SLOW,-19:41:32.4,0.212,0.018,silver,g,r,2458821.71,5.0495,6.4851,18.5596,0.0291,18.7688,0.0316,-21.2374,0.0349,18.7748,0.0349,18.631,0.0275,18.8295,0.0356
ZTF19acgjpgh,"yes,<19",+00:49:36.0,0.0635,0.1045,silver,g,g,2458841.24,4.2595,5.0494,17.0927,0.0627,17.0793,0.0502,-20.1334,0.0627,17.0927,0.0627,17.5077,0.0493,17.3439,0.0359
ZTF19ackjrru,"yes,<19",+40:14:32.6,0.2,0.0165,silver,g,r,2458814.84,4.425,5.825,18.6402,0.0568,18.8009,0.0772,-21.0843,0.0927,18.8285,0.0927,18.7251,0.0551,18.8754,0.0657
ZTF19acsajxn,"yes,<19.5",+22:10:46.0,0.2206,0.0425,bronze,r,r,2458832.67,1.8597,1.8843,19.1968,0.2678,19.0075,0.0836,-20.9817,0.0836,19.0075,0.0836,19.4681,0.3913,19.3114,0.0278
ZTF19acucxij,"yes,<19",+44:46:26.2,0.3314,0.0115,bronze,r,r,2458860.38,3.1771,3.1546,18.6619,0.1704,18.7846,0.0304,-22.1262,0.0304,18.7846,0.0304,18.81,0.1,18.8592,0.0579
ZTF19adaivcf,"yes,<19.5",+43:24:53.6,0.3785,0.0119,bronze,g,r,2458866.96,3.9028,4.2583,19.1427,0.024,19.1718,0.0212,-22.0201,0.0221,19.1802,0.0221,19.1889,0.0247,19.2083,0.021
ZTF20aahbfmf,"yes,<19",+04:19:26.9,0.2485,0.0193,bronze,r,r,2458893.17,1.69,1.0412,18.3904,0.0168,18.4889,0.0186,-21.7953,0.0186,18.4889,0.0186,18.4666,0.0156,18.559,0.0173
ZTF20aaifybu,"yes, <19,redo LC",+13:05:51.9,0.25,0.0565,bronze,g,r,2458888.28,7.912,4.568,18.5394,0.0498,18.6944,0.0503,-21.6572,0.0497,18.7114,0.0497,18.7607,0.0564,18.8547,0.0566
#,,,,,,,,,,,,,,,,,,,,,,
#ZTF20aahrxgw ,"yes, <19.5",,0.3,,,,,,,,,,,,,,,,,,,
#ZTF20aadzbcf,"yes, ~19",,0.34,,,,,,,,,,,,,,,,,,,
#ZTF20aaoqwpo,"yes,<19",,0.242,,,,,,,,,,,,,,,,,,,
