name,RA,DEC,redshift,E(B-V),class,peakband,convertband,tpeak,tpeak_unc_low,tpeak_unc_up,gpeak,gpeak_unc,rpeak,rpeak_unc,gpeak_abs,gpeak_abs_unc,mag_convert,mag_convert_unc
ZTF19abxequc,19:10:04.90,+32:20:41.4,0.1160,0.1553,silver,g,g,2458803.2100,9.1308,9.9552,17.6001,0.0334,17.4963,0.0467,-20.9469,0.0334,17.6001,0.0334
ZTF19abxgmzr,21:12:55.00,-16:38:07.1,0.1136,0.0619,silver,g,g,2458755.0700,3.6638,1.9217,17.5174,0.0469,17.7054,0.0151,-21.0135,0.0469,17.5174,0.0469
ZTF19abzoyeg,21:15:08.00,+32:43:01.3,0.2000,0.1260,gold,g,r,2458765.1200,2.6250,2.2167,18.8652,0.0340,19.0960,0.0291,-20.5918,0.0360,19.1470,0.0360
ZTF19abzqmau,01:12:39.42,+36:28:24.8,0.3436,0.0599,silver,g,r,2458760.7200,3.0292,3.4534,19.4999,0.0146,19.6265,0.0174,-21.3520,0.0174,19.6265,0.0174
ZTF19acblhej,02:18:21.94,-25:54:24.5,0.2020,0.0093,silver,g,r,2458784.1600,9.1597,10.6739,19.2172,0.0611,19.2149,0.0477,-20.5385,0.0466,19.2205,0.0466
ZTF19acbonaa,06:54:23.10,+17:29:31.4,0.1178,0.0720,silver,g,g,2458783.5400,5.7076,16.9529,18.8759,0.0249,18.5078,0.0227,-19.4500,0.0249,18.8759,0.0249
ZTF19acfwynw,00:10:13.14,-19:41:32.4,0.2120,0.0180,silver,g,r,2458821.7100,5.0495,6.4851,18.5596,0.0291,18.7688,0.0316,-21.2374,0.0349,18.7748,0.0349
ZTF19acgjpgh,09:47:57.02,+00:49:36.0,0.0635,0.1045,silver,g,g,2458841.2400,4.2595,5.0494,17.0927,0.0627,17.0793,0.0502,-20.1334,0.0627,17.0927,0.0627
ZTF19ackiwff,07:29:59.99,+13:05:43.2,0.4030,0.0710,bronze,r,r,2458831.3800,1.5253,9.1875,19.5889,0.1054,19.3853,0.0540,-21.9698,0.0540,19.3853,0.0540
ZTF19ackjrru,09:03:15.18,+40:14:32.6,0.2000,0.0165,silver,g,r,2458814.8400,4.4250,5.8250,18.6402,0.0568,18.8009,0.0772,-21.0843,0.0927,18.8285,0.0927
ZTF19ackzvdp,02:23:28.74,-01:58:59.0,0.3035,0.0230,silver,g,r,2458809.3300,5.7844,2.8539,18.9448,0.0257,19.0224,0.0092,-21.7013,0.0171,19.0272,0.0171
ZTF19acsajxn,08:24:51.33,+22:10:46.0,0.2206,0.0425,bronze,r,r,2458832.6700,1.8597,1.8843,19.1968,0.2678,19.0075,0.0836,-20.9817,0.0836,19.0075,0.0836
ZTF19acucxij,09:13:30.13,+44:46:26.2,0.3314,0.0115,bronze,r,r,2458860.3800,3.1771,3.1546,18.6619,0.1704,18.7846,0.0304,-22.1262,0.0304,18.7846,0.0304
ZTF19acvxquk,02:55:08.89,+11:27:22.4,0.2590,0.1925,bad,g,r,2458866.9800,43.6696,0.0079,19.9339,0.0334,19.4537,0.0619,-20.9302,0.0728,19.4217,0.0728
ZTF19adaivcf,10:15:01.10,+43:24:53.6,0.3785,0.0119,bronze,g,r,2458866.9600,3.9028,4.2583,19.1427,0.0240,19.1718,0.0212,-22.0201,0.0221,19.1802,0.0221
ZTF19adcfsoc,12:58:42.92,+15:12:42.1,0.2600,0.0194,bronze,g,r,2458888.9100,4.5317,8.0000,17.8277,0.0292,17.7731,0.0489,-22.5273,0.0265,17.8499,0.0265
ZTF20aahbfmf,08:16:14.65,+04:19:26.9,0.2485,0.0193,bronze,r,r,2458893.1700,1.6900,1.0412,18.3904,0.0168,18.4889,0.0186,-21.7953,0.0186,18.4889,0.0186
ZTF20aaifybu,16:34:12.51,+13:05:51.9,0.2500,0.0565,bronze,g,r,2458888.2800,7.9120,4.5680,18.5394,0.0498,18.6944,0.0503,-21.6572,0.0497,18.7114,0.0497
