# Nicholl et al. 2017
# Median and 1-sigma bounds for all parameters and all SLSNe.
#           redshift       (mag)	         (ms)         (10^14 Gauss)        (Msun)            (10^3 kms)         (cm^2/erg)                  (cm^2/erg)                      (Msun)        (10^3 K)          (mag)
Name           z       M_g     M_r     M_i     P   P-   P+     B   B-   B+     Mej  Mej- Mej+      Vej  Vej- Vej+  kappa kappa- kappa+ kappa_gamma kappa_gamma- kappa_gamma+    Mns Mns- Mns+   Tf   Tf- Tf+    Av   Av-  Av+
PS1-14bj     0.5215  -19.91  -19.94  -19.84  2.82 0.42 0.54  0.13 0.03 0.09  18.46  2.50  2.72    5.07  0.89 0.58  0.18   0.02  0.02      0.01        0.00          0.00       1.85 0.36 0.25  8.99 0.30 0.27  0.05 0.03 0.07
PS1-11ap     0.524   -21.23  -21.06  -20.91  3.66 0.41 0.45  0.82 0.18 0.14   5.29  1.74  2.62    5.73  0.23 0.20  0.10   0.04  0.07      7.22        6.24         35.67       1.87 0.30 0.22  8.11 0.19 0.33  0.06 0.04 0.07
DES14X3taz   0.608   -21.87  -21.72  -21.56  2.41 0.26 0.30  0.39 0.10 0.13   5.41  0.99  0.79   10.46  0.63 0.94  0.18   0.02  0.02      0.01        0.00          0.00       1.87 0.28 0.21  6.17 0.28 0.34  0.44 0.10 0.05
PS1-10bzj    0.650   -21.23  -21.07  -20.92  5.21 0.65 0.76  1.63 0.42 0.24   1.65  0.28  0.51   11.80  0.63 0.73  0.16   0.03  0.03      6.15        5.72         27.05       1.86 0.33 0.22  6.18 0.93 0.55  0.11 0.09 0.16
DES13S2cmm   0.663   -20.02  -20.17  -20.19  6.59 0.75 0.70  0.73 0.14 0.20   2.31  0.36  0.47    9.99  0.75 0.58  0.16   0.03  0.02      4.48        3.75         36.82       1.76 0.26 0.31  7.05 0.18 0.26  0.06 0.05 0.08
iPTF13ajg    0.740   -22.73  -22.48  -22.27  1.82 0.21 0.25  0.75 0.20 0.15   4.87  0.87  0.89   13.08  0.58 0.57  0.17   0.02  0.02      1.58        1.46         28.31       1.89 0.32 0.21  4.75 0.55 0.31  0.45 0.06 0.03
PS1-10awh    0.908   -22.15  -21.91  -21.70  1.76 0.52 0.65  1.56 0.34 0.44   6.47  1.94  3.78   11.83  0.92 1.22  0.16   0.04  0.03      2.02        2.00         31.19       1.80 0.28 0.27  5.90 0.87 1.10  0.08 0.05 0.08
PS1-10ky     0.956   -22.48  -22.16  -21.91  1.58 0.27 0.38  1.19 0.29 0.26   3.94  0.98  2.85   12.41  0.70 0.99  0.14   0.05  0.04      4.44        4.15         39.88       1.85 0.31 0.23  5.90 0.73 1.10  0.39 0.12 0.08
PS1-10ahf    1.1     -21.30  -21.43  -21.45  2.35 0.78 0.57  0.17 0.12 0.11  10.50  3.23  3.57    6.37  1.02 0.94  0.15   0.05  0.04      0.07        0.05         12.80       1.85 0.25 0.25  6.85 0.89 0.92  0.26 0.17 0.13
SCP-06F6     1.189   -21.81  -21.75  -21.63  1.78 0.55 0.53  0.16 0.10 0.19   7.02  1.49  1.43   11.13  1.93 2.40  0.18   0.04  0.02      0.01        0.00          0.01       1.75 0.22 0.27  5.70 0.77 0.73  0.18 0.12 0.23
PS1-10pm     1.206   -21.53  -21.52  -21.43  1.31 0.43 0.53  0.06 0.04 0.06   4.03  1.24  1.85   15.75  1.01 1.24  0.15   0.06  0.03      0.02        0.01          0.02       1.85 0.29 0.26  6.47 0.48 0.70  0.10 0.06 0.11
SNLS-07D2bv  1.50    -20.72  -20.89  -20.98  3.49 0.60 0.57  0.26 0.09 0.11   1.55  0.46  1.00   10.89  0.47 0.39  0.12   0.05  0.05      2.19        2.08         21.20       1.80 0.31 0.26  5.85 0.99 1.14  0.03 0.02 0.03
PS1-11bam    1.565   -21.95  -21.65  -21.43  2.39 0.87 0.74  1.01 0.23 0.39   3.73  1.66  3.58    8.94  1.56 1.38  0.09   0.03  0.06      1.18        1.07         22.89       1.83 0.27 0.26  6.19 1.22 0.96  0.06 0.04 0.07
SNLS-06D4eu  1.588   -21.83  -21.71  -21.59  3.55 0.68 0.58  0.79 0.43 0.20   2.06  0.39  0.50   13.19  0.80 0.76  0.17   0.03  0.02      0.17        0.14         15.93       1.88 0.28 0.23  6.05 1.16 1.00  0.04 0.03 0.07
